instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,0.344167,0.363625,0.805833,0.160446,985.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.363478,0.3537389999999999,0.696087,0.2485389999999999,801.0
3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.196364,0.189405,0.4372729999999999,0.248309,1349.0
4.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.2,0.2121219999999999,0.590435,0.160296,1562.0
5.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.226957,0.2292699999999999,0.436957,0.1869,1600.0
6.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.204348,0.233209,0.518261,0.0895652,1606.0
7.0,1.0,0.0,1.0,0.0,5.0,1.0,2.0,0.196522,0.208839,0.498696,0.168726,1510.0
8.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,0.165,0.162254,0.535833,0.266804,959.0
9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1383329999999999,0.116175,0.434167,0.36195,822.0
10.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.150833,0.150888,0.482917,0.223267,1321.0
11.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.169091,0.191464,0.6863640000000001,0.1221319999999999,1263.0
12.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.172727,0.160473,0.599545,0.304627,1162.0
13.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,0.165,0.150883,0.470417,0.301,1406.0
14.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.16087,0.188413,0.537826,0.126548,1421.0
15.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,0.2333329999999999,0.248112,0.49875,0.157963,1248.0
16.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.231667,0.234217,0.48375,0.188433,1204.0
17.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.175833,0.176771,0.5375,0.194017,1000.0
